Transaction Type,Transaction Amount,Sender Balance Before,Sender Balance After,Recipient Balance Before,Recipient Balance After,Fraud/Not
Chip,1011,87393,86382,43794,44805,No
Online,2775,93215,90440,41065,43840,No
Swipe,1645,20243,18597,6617,8263,No
Online,413,93157,92745,68399,68812,No
Swipe,842,4826,3984,18865,19708,Yes
Online,8761,75856,67094,52876,61637,Yes
Swipe,4214,38713,34499,73518,77732,Yes
Swipe,231,27820,27589,87966,88197,Yes
Online,5887,85395,79508,21077,26964,No
Swipe,545,55671,55126,20537,21082,Yes
Chip,5381,27341,21960,47731,53112,Yes
Swipe,8363,53820,45457,36950,45314,No
Online,3911,38075,34164,98551,102462,No
Chip,9987,83260,73273,72026,82013,Yes
Swipe,9095,63943,54847,45270,54365,Yes
Chip,8240,41715,33475,95374,103614,No
Swipe,846,4701,3854,22140,22986,Yes
Chip,481,70284,69803,3384,3865,No
Chip,6096,14620,8524,41107,47203,Yes
Online,2417,4029,1611,28972,31389,No
Online,3585,99005,95421,54137,57722,Yes
Chip,8624,71650,63027,12833,21457,No
Chip,1382,32061,30679,40244,41626,Yes
Online,235,40379,40144,44799,45034,Yes
Online,3591,32759,29169,38791,42382,Yes
Chip,7609,58556,50947,23550,31159,No
Chip,7766,59622,51855,45897,53664,Yes
Chip,7578,23098,15520,43976,51554,Yes
Swipe,4988,35880,30891,33128,38117,No
Online,1234,9999,8765,18710,19944,No
Online,8069,56470,48401,34200,42269,Yes
Swipe,5571,11010,5438,19646,25218,No
Chip,3986,42317,38331,80813,84799,Yes
Online,9288,86738,77450,23449,32737,Yes
Chip,9171,9738,567,33135,42305,No
Swipe,2482,95863,93381,24136,26619,Yes
Online,6927,42005,35079,81294,88220,No
Chip,940,73363,72423,64072,65012,Yes
Swipe,700,42010,41310,86442,87142,Yes
Online,6621,23942,17321,6340,12961,No
Online,3932,56369,52438,73973,77905,No
Online,8999,33556,24557,85661,94661,Yes
Chip,9587,80387,70801,61609,71195,No
Online,1370,42929,41559,79850,81220,Yes
Chip,2643,82071,79428,80505,83148,Yes
Swipe,1565,42920,41354,95239,96804,No
Chip,8919,82107,73188,66804,75723,Yes
Swipe,8556,64644,56087,93285,101842,Yes
Chip,2698,42563,39865,29404,32101,No
Swipe,5962,6305,343,38244,44206,Yes
Online,4422,13069,8647,38585,43007,Yes
Online,5854,46951,41097,20209,26062,No
Online,4111,48755,44643,1386,5498,No
Online,4368,16884,12516,79675,84044,No
Swipe,9470,58742,49272,78725,88195,No
Swipe,8191,45489,37298,36851,45043,No
Chip,1236,94607,93371,12582,13818,No
Online,2740,19249,16509,57569,60309,No
Swipe,7906,54947,47041,43060,50966,No
Swipe,4979,15001,10022,38783,43762,Yes
Swipe,5441,35902,30461,19154,24595,No
Chip,1026,65572,64546,81019,82046,Yes
Chip,6712,71404,64693,53083,59795,Yes
Swipe,5440,86917,81477,35215,40655,Yes
Chip,3793,22490,18697,25798,29591,No
Chip,2761,43205,40444,88028,90789,Yes
Online,5154,11878,6723,28984,34138,Yes
Online,3943,32630,28687,6587,10531,Yes
Swipe,8883,21037,12154,80552,89435,Yes
Chip,6723,35844,29121,89719,96442,Yes
Online,7355,53971,46617,77272,84627,No
Chip,4441,67426,62985,70472,74914,No
Chip,4819,83442,78623,84236,89055,No
Swipe,8229,90179,81950,19160,27389,Yes
Swipe,5800,79282,73482,53202,59002,No
Chip,1090,92700,91610,34340,35430,No
Online,4589,99289,94700,9995,14584,No
Swipe,9905,61384,51479,93842,103747,No
Swipe,5411,39078,33667,9046,14457,Yes
Swipe,6959,36048,29089,53264,60223,No
Swipe,5570,96609,91040,80555,86124,No
Online,7132,26034,18903,57361,64493,No
Swipe,7896,88805,80909,47747,55643,Yes
Chip,4245,89156,84911,67282,71527,No
Chip,9184,38658,29474,15601,24785,No
Swipe,3093,13713,10620,41332,44425,Yes
Online,5355,74198,68842,40512,45867,No
Online,957,7137,6180,92705,93662,Yes
Swipe,8306,33433,25127,90982,99288,Yes
Online,8440,50126,41686,46606,55046,No
Swipe,680,33100,32419,40571,41251,No
Swipe,6777,95461,88683,23654,30431,Yes
Chip,9287,30818,21531,99723,109011,Yes
Chip,1671,25251,23580,50063,51734,No
Chip,638,17042,16404,27971,28609,Yes
Online,7534,57647,50113,22198,29733,Yes
Chip,9192,31304,22112,72158,81350,No
Chip,194,11861,11667,83157,83351,Yes
Chip,4610,8787,4177,39245,43855,Yes
Online,5084,99138,94054,94341,99425,No
Chip,7279,72951,65672,41660,48939,Yes
Swipe,2861,97767,94906,50568,53428,No
Swipe,1744,53294,51550,85133,86876,Yes
Online,7421,21162,13741,13502,20923,No
Chip,5864,46330,40465,75984,81848,No
Swipe,6215,72221,66006,16067,22282,No
Online,7359,69296,61937,73194,80553,No
Chip,8756,57984,49227,25754,34510,No
Swipe,2211,79908,77696,30227,32438,No
Online,1689,32645,30956,5885,7574,No
Chip,6094,99518,93423,85021,91116,Yes
Online,2580,16161,13580,19523,22103,Yes
Online,8979,51811,42832,73770,82749,Yes
Online,6621,53662,47041,85329,91950,No
Chip,4926,74404,69478,90486,95411,Yes
Chip,6210,67950,61740,39390,45600,No
Chip,2499,67033,64534,61362,63861,Yes
Swipe,9290,53796,44506,1153,10444,Yes
Chip,4967,21670,16703,3857,8824,Yes
Chip,6109,13044,6934,27591,33701,No
Online,6196,33460,27264,90934,97130,Yes
Swipe,8938,53054,44116,99439,108377,Yes
Swipe,6943,65661,58718,97532,104475,Yes
Online,4339,63552,59213,85445,89784,No
Swipe,335,45577,45242,38624,38959,Yes
Online,1212,33650,32438,88359,89571,No
Chip,1417,68648,67231,63627,65043,No
Swipe,2347,40546,38199,5045,7392,No
Chip,9732,83818,74086,51806,61538,No
Online,7866,23668,15802,33021,40886,Yes
Chip,8761,24218,15458,50635,59395,Yes
Online,2193,46910,44717,2557,4750,Yes
Chip,7614,78654,71040,40205,47819,Yes
Swipe,720,21086,20366,10512,11232,Yes
Chip,3370,76865,73495,15672,19043,No
Chip,3048,5166,2118,7693,10741,No
Online,859,39722,38863,8914,9773,Yes
Swipe,2522,82832,80309,90079,92602,No
Chip,8377,27099,18721,6925,15302,No
Swipe,1549,13827,12277,48352,49901,No
Online,1447,1763,316,84265,85712,Yes
Swipe,1548,92999,91451,43446,44994,No
Chip,1390,2412,1022,22272,23661,No
Chip,5791,29256,23465,13496,19287,No
Swipe,8221,85765,77544,79729,87950,Yes
Online,3568,25606,22039,36166,39734,No
Swipe,8884,89161,80277,90946,99830,No
Chip,4531,32595,28064,72901,77431,No
Swipe,451,70675,70224,56841,57292,Yes
Chip,8556,62727,54170,84899,93455,No
Online,6352,87586,81234,97336,103688,Yes
Swipe,1765,9982,8217,39721,41486,No
Chip,4841,14537,9696,59715,64556,Yes
Chip,4401,60317,55915,6383,10784,No
Online,4504,60027,55523,77885,82389,No
Online,3719,75044,71325,67909,71629,No
Swipe,985,66279,65295,64418,65403,No
Swipe,5193,59596,54403,35364,40557,Yes
Online,618,43314,42696,32606,33224,Yes
Swipe,1061,96154,95093,10209,11270,No
Chip,5924,14558,8634,16673,22597,No
Swipe,6176,32930,26754,1499,7674,No
Swipe,7398,52703,45305,17246,24645,No
Swipe,7680,75877,68197,80537,88217,Yes
Chip,9349,14658,5309,73848,83197,No
Online,2374,75846,73472,36141,38514,Yes
Swipe,2275,12575,10300,64493,66768,Yes
Chip,6569,94935,88366,29349,35919,Yes
Swipe,7270,72309,65039,2312,9582,No
Swipe,7051,49266,42215,24459,31510,No
Chip,1496,49717,48221,49299,50795,Yes
Chip,4139,36032,31893,42414,46552,No
Chip,2952,16172,13220,11126,14078,No
Online,26,70041,70015,80750,80776,No
Online,8212,21438,13226,51945,60157,Yes
Online,821,32776,31955,21731,22552,No
Online,2287,83274,80988,93934,96221,Yes
Online,5589,48216,42627,63186,68775,Yes
Chip,1793,72931,71138,13762,15555,Yes
Chip,8410,84754,76344,4361,12771,Yes
Swipe,2003,30132,28129,98299,100302,Yes
Chip,7582,99654,92073,24538,32119,No
Online,5377,45863,40486,16328,21705,No
Online,9902,85875,75973,11957,21859,Yes
Chip,9202,79127,69925,5151,14352,Yes
Online,5986,74159,68173,9741,15727,Yes
Chip,8935,36892,27957,70042,78977,No
Online,7785,24720,16935,40227,48012,No
