Transaction Type,Transaction Amount,Sender Balance Before,Sender Balance After,Recipient Balance Before,Recipient Balance After
Swipe,842,4826,3984,18865,19708
Online,8761,75856,67094,52876,61637
Swipe,4214,38713,34499,73518,77732
Swipe,231,27820,27589,87966,88197
Swipe,545,55671,55126,20537,21082
Chip,5381,27341,21960,47731,53112
Chip,9987,83260,73273,72026,82013
Swipe,9095,63943,54847,45270,54365
Swipe,846,4701,3854,22140,22986
Chip,6096,14620,8524,41107,47203
Online,3585,99005,95421,54137,57722
Chip,1382,32061,30679,40244,41626
Online,235,40379,40144,44799,45034
Online,3591,32759,29169,38791,42382
Chip,7766,59622,51855,45897,53664
Chip,7578,23098,15520,43976,51554
Online,8069,56470,48401,34200,42269
Chip,3986,42317,38331,80813,84799
Online,9288,86738,77450,23449,32737
Swipe,2482,95863,93381,24136,26619
Chip,940,73363,72423,64072,65012
Swipe,700,42010,41310,86442,87142
Online,8999,33556,24557,85661,94661
Online,1370,42929,41559,79850,81220
Chip,2643,82071,79428,80505,83148
Chip,8919,82107,73188,66804,75723
Swipe,8556,64644,56087,93285,101842
Swipe,5962,6305,343,38244,44206
Online,4422,13069,8647,38585,43007
Swipe,4979,15001,10022,38783,43762
Chip,1026,65572,64546,81019,82046
Chip,6712,71404,64693,53083,59795
Swipe,5440,86917,81477,35215,40655
Chip,2761,43205,40444,88028,90789
Online,5154,11878,6723,28984,34138
Online,3943,32630,28687,6587,10531
Swipe,8883,21037,12154,80552,89435
Chip,6723,35844,29121,89719,96442
Swipe,8229,90179,81950,19160,27389
Swipe,5411,39078,33667,9046,14457
Swipe,7896,88805,80909,47747,55643
Swipe,3093,13713,10620,41332,44425
Online,957,7137,6180,92705,93662
Swipe,8306,33433,25127,90982,99288
Swipe,6777,95461,88683,23654,30431
Chip,9287,30818,21531,99723,109011
Chip,638,17042,16404,27971,28609
Online,7534,57647,50113,22198,29733
Chip,194,11861,11667,83157,83351
Chip,4610,8787,4177,39245,43855
Chip,7279,72951,65672,41660,48939
Swipe,1744,53294,51550,85133,86876
Chip,6094,99518,93423,85021,91116
Online,2580,16161,13580,19523,22103
Online,8979,51811,42832,73770,82749
Chip,4926,74404,69478,90486,95411
Chip,2499,67033,64534,61362,63861
Swipe,9290,53796,44506,1153,10444
Chip,4967,21670,16703,3857,8824
Online,6196,33460,27264,90934,97130
Swipe,8938,53054,44116,99439,108377
Swipe,6943,65661,58718,97532,104475
Swipe,335,45577,45242,38624,38959
Online,7866,23668,15802,33021,40886
Chip,8761,24218,15458,50635,59395
Online,2193,46910,44717,2557,4750
Chip,7614,78654,71040,40205,47819
Swipe,720,21086,20366,10512,11232
Online,859,39722,38863,8914,9773
Online,1447,1763,316,84265,85712
Swipe,8221,85765,77544,79729,87950
Online,6352,87586,81234,97336,103688
Chip,4841,14537,9696,59715,64556
Swipe,5193,59596,54403,35364,40557
Online,618,43314,42696,32606,33224
Swipe,7680,75877,68197,80537,88217
Online,2374,75846,73472,36141,38514
Swipe,2275,12575,10300,64493,66768
Chip,6569,94935,88366,29349,35919
Chip,1496,49717,48221,49299,50795
Online,8212,21438,13226,51945,60157
Online,2287,83274,80988,93934,96221
Online,5589,48216,42627,63186,68775
Chip,1793,72931,71138,13762,15555
Chip,8410,84754,76344,4361,12771
Swipe,2003,30132,28129,98299,100302
Online,9902,85875,75973,11957,21859
Chip,9202,79127,69925,5151,14352
Online,5986,74159,68173,9741,15727
Chip,705,67067,66362,60800,61505
Online,3174,72663,69490,74886,78060
Swipe,1847,10295,8448,28382,30228
Chip,1499,46579,45080,1248,2746
Online,5131,27068,21937,76385,81516
Chip,3438,17813,14375,23987,27425
Online,6546,92170,85623,58501,65047
Online,7097,40827,33730,31237,38334
Swipe,6336,99152,92816,76842,83178
Swipe,750,6630,5880,30284,31034
Online,9745,88120,78375,52973,62718
Online,2772,17477,14705,15288,18060
Swipe,1182,2188,1006,59648,60830
Online,1021,31964,30943,92670,93691
Swipe,4127,77976,73848,12484,16612
Chip,22,44327,44305,28761,28783
Online,7039,54179,47140,88004,95044
Chip,2358,20633,18275,69099,71457
Swipe,2956,12627,9672,37329,40285
Swipe,1466,83324,81858,35984,37449
Chip,5545,24080,18535,93655,99200
Chip,3905,57507,53602,2329,6234
Swipe,5041,25307,20266,1375,6416
Swipe,8217,32900,24683,41670,49887
Online,8641,79667,71026,90479,99120
Swipe,1612,62770,61158,32479,34091
