Transaction Type,Transaction Amount,Sender Balance Before,Sender Balance After,Recipient Balance Before,Recipient Balance After
Chip,1011,87393,86382,43794,44805
Online,2775,93215,90440,41065,43840
Swipe,1645,20243,18597,6617,8263
Online,413,93157,92745,68399,68812
Online,5887,85395,79508,21077,26964
Swipe,8363,53820,45457,36950,45314
Online,3911,38075,34164,98551,102462
Chip,8240,41715,33475,95374,103614
Chip,481,70284,69803,3384,3865
Online,2417,4029,1611,28972,31389
Chip,8624,71650,63027,12833,21457
Chip,7609,58556,50947,23550,31159
Swipe,4988,35880,30891,33128,38117
Online,1234,9999,8765,18710,19944
Swipe,5571,11010,5438,19646,25218
Chip,9171,9738,567,33135,42305
Online,6927,42005,35079,81294,88220
Online,6621,23942,17321,6340,12961
Online,3932,56369,52438,73973,77905
Chip,9587,80387,70801,61609,71195
Swipe,1565,42920,41354,95239,96804
Chip,2698,42563,39865,29404,32101
Online,5854,46951,41097,20209,26062
Online,4111,48755,44643,1386,5498
Online,4368,16884,12516,79675,84044
Swipe,9470,58742,49272,78725,88195
Swipe,8191,45489,37298,36851,45043
Chip,1236,94607,93371,12582,13818
Online,2740,19249,16509,57569,60309
Swipe,7906,54947,47041,43060,50966
Swipe,5441,35902,30461,19154,24595
Chip,3793,22490,18697,25798,29591
Online,7355,53971,46617,77272,84627
Chip,4441,67426,62985,70472,74914
Chip,4819,83442,78623,84236,89055
Swipe,5800,79282,73482,53202,59002
Chip,1090,92700,91610,34340,35430
Online,4589,99289,94700,9995,14584
Swipe,9905,61384,51479,93842,103747
Swipe,6959,36048,29089,53264,60223
Swipe,5570,96609,91040,80555,86124
Online,7132,26034,18903,57361,64493
Chip,4245,89156,84911,67282,71527
Chip,9184,38658,29474,15601,24785
Online,5355,74198,68842,40512,45867
Online,8440,50126,41686,46606,55046
Swipe,680,33100,32419,40571,41251
Chip,1671,25251,23580,50063,51734
Chip,9192,31304,22112,72158,81350
Online,5084,99138,94054,94341,99425
Swipe,2861,97767,94906,50568,53428
